"filename", "language", "Python", "pip requirements", "Markdown", "Properties", "comment", "blank", "total"
"c:\Users\anton\Desktop\compiler_sheesh\README.md", "Markdown", 0, 0, 32, 0, 0, -7, 25
"c:\Users\anton\Desktop\compiler_sheesh\requirements.txt", "pip requirements", 0, 7, 0, 0, 0, 0, 7
"c:\Users\anton\Desktop\compiler_sheesh\setup.py", "Python", -2, 0, 0, 0, 0, 0, -2
"c:\Users\anton\Desktop\compiler_sheesh\source\CodeGeneration\CodeGen.py", "Python", 160, 0, 0, 0, 65, 60, 285
"c:\Users\anton\Desktop\compiler_sheesh\source\CodeGeneration\CodeOptimizer.py", "Python", 2, 0, 0, 0, 0, 2, 4
"c:\Users\anton\Desktop\compiler_sheesh\source\CodeGeneration\Functionality\ControlFlow.py", "Python", 72, 0, 0, 0, 10, 17, 99
"c:\Users\anton\Desktop\compiler_sheesh\source\CodeGeneration\Functionality\Declarations.py", "Python", 38, 0, 0, 0, 6, 12, 56
"c:\Users\anton\Desktop\compiler_sheesh\source\CodeGeneration\Functionality\Evaluators.py", "Python", 378, 0, 0, 0, 25, 50, 453
"c:\Users\anton\Desktop\compiler_sheesh\source\CodeGeneration\Functionality\Functionality.py", "Python", 36, 0, 0, 0, 8, 30, 74
"c:\Users\anton\Desktop\compiler_sheesh\source\CodeGeneration\Functionality\InOut.py", "Python", 107, 0, 0, 0, 18, 18, 143
"c:\Users\anton\Desktop\compiler_sheesh\source\CodeGeneration\Functionality\Loops.py", "Python", 51, 0, 0, 0, 27, 20, 98
"c:\Users\anton\Desktop\compiler_sheesh\source\CodeGeneration\Functionality\Variables.py", "Python", 12, 0, 0, 0, 2, 10, 24
"c:\Users\anton\Desktop\compiler_sheesh\source\CodeGeneration\Functionality\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\anton\Desktop\compiler_sheesh\source\CodeGeneration\IntermediateCodeGen.py", "Python", 259, 0, 0, 0, 53, 66, 378
"c:\Users\anton\Desktop\compiler_sheesh\source\CodeGeneration\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\anton\Desktop\compiler_sheesh\source\LexicalAnalyzer\Lexer.py", "Python", 138, 0, 0, 0, 2, 27, 167
"c:\Users\anton\Desktop\compiler_sheesh\source\LexicalAnalyzer\lexerpy.py", "Python", -120, 0, 0, 0, -18, -21, -159
"c:\Users\anton\Desktop\compiler_sheesh\source\LexicalAnalyzer\prepare.py", "Python", 135, 0, 0, 0, -39, 40, 136
"c:\Users\anton\Desktop\compiler_sheesh\source\LexicalAnalyzer\tokenclass.py", "Python", -159, 0, 0, 0, -10, -28, -197
"c:\Users\anton\Desktop\compiler_sheesh\source\SemanticAnalyzer\SemanticAnalyzer.py", "Python", 276, 0, 0, 0, 347, 176, 799
"c:\Users\anton\Desktop\compiler_sheesh\source\SemanticAnalyzer\Semantisizer.py", "Python", 35, 0, 0, 0, 1, 13, 49
"c:\Users\anton\Desktop\compiler_sheesh\source\Sheesh# Compiler.py", "Python", 143, 0, 0, 0, 14, 44, 201
"c:\Users\anton\Desktop\compiler_sheesh\source\SyntaxAnalyzer\MainParser.py", "Python", -2514, 0, 0, 0, -68, -316, -2898
"c:\Users\anton\Desktop\compiler_sheesh\source\SyntaxAnalyzer\Parser.py", "Python", 2087, 0, 0, 0, 84, 322, 2493
"c:\Users\anton\Desktop\compiler_sheesh\source\SyntaxAnalyzer\fsp.py", "Python", -296, 0, 0, 0, 0, -33, -329
"c:\Users\anton\Desktop\compiler_sheesh\source\SyntaxAnalyzer\grammar.py", "Python", -355, 0, 0, 0, -44, -55, -454
"c:\Users\anton\Desktop\compiler_sheesh\source\SyntaxAnalyzer\newparser.py", "Python", -5, 0, 0, 0, 0, -1, -6
"c:\Users\anton\Desktop\compiler_sheesh\source\SyntaxAnalyzer\parser1.py", "Python", -50, 0, 0, 0, -1, -10, -61
"c:\Users\anton\Desktop\compiler_sheesh\source\SyntaxAnalyzer\parser2.py", "Python", 151, 0, 0, 0, -3, 90, 238
"c:\Users\anton\Desktop\compiler_sheesh\source\SyntaxAnalyzer\parser3.py", "Python", -342, 0, 0, 0, -106, -94, -542
"c:\Users\anton\Desktop\compiler_sheesh\source\SyntaxAnalyzer\parser_sheesh.py", "Python", -1205, 0, 0, 0, -88, -595, -1888
"c:\Users\anton\Desktop\compiler_sheesh\source\SyntaxAnalyzer\random.py", "Python", -50, 0, 0, 0, 0, -1, -51
"c:\Users\anton\Desktop\compiler_sheesh\source\SyntaxAnalyzer\syntax_analyzer.py", "Python", -76, 0, 0, 0, -38, -24, -138
"c:\Users\anton\Desktop\compiler_sheesh\source\SyntaxAnalyzer\test_grammar.py", "Python", -155, 0, 0, 0, -86, -57, -298
"c:\Users\anton\Desktop\compiler_sheesh\source\SyntaxAnalyzer\test_parser2.py", "Python", -13, 0, 0, 0, -4, -7, -24
"c:\Users\anton\Desktop\compiler_sheesh\source\core\AST.py", "Python", 148, 0, 0, 0, 34, 50, 232
"c:\Users\anton\Desktop\compiler_sheesh\source\core\CodeGeneration\CodeGen.py", "Python", -2, 0, 0, 0, 0, 0, -2
"c:\Users\anton\Desktop\compiler_sheesh\source\core\CodeGeneration\CodeOptimizer.py", "Python", -2, 0, 0, 0, 0, -2, -4
"c:\Users\anton\Desktop\compiler_sheesh\source\core\CodeGeneration\IntermediateCodeGen.py", "Python", -2, 0, 0, 0, 0, -5, -7
"c:\Users\anton\Desktop\compiler_sheesh\source\core\compile.py", "Python", 54, 0, 0, 0, 2, 19, 75
"c:\Users\anton\Desktop\compiler_sheesh\source\core\constants.py", "Python", 130, 0, 0, 0, 2, 59, 191
"c:\Users\anton\Desktop\compiler_sheesh\source\core\error_handler.py", "Python", -2, 0, 0, 0, 0, 5, 3
"c:\Users\anton\Desktop\compiler_sheesh\source\core\error_types.py", "Python", 80, 0, 0, 0, 0, 45, 125
"c:\Users\anton\Desktop\compiler_sheesh\source\core\std.py", "Python", 6, 0, 0, 0, 0, 2, 8
"c:\Users\anton\Desktop\compiler_sheesh\source\core\symbol_table.py", "Python", 223, 0, 0, 0, 21, 82, 326
"c:\Users\anton\Desktop\compiler_sheesh\source\helper.py", "Python", -9, 0, 0, 0, -1, -5, -15
"c:\Users\anton\Desktop\compiler_sheesh\src\source\README.md", "Markdown", 0, 0, 28, 0, 0, 17, 45
"c:\Users\anton\Desktop\compiler_sheesh\src\source\compiler_sheesh.cfg", "Properties", 0, 0, 0, 13, 0, 1, 14
"c:\Users\anton\Desktop\compiler_sheesh\src\source\setup.py", "Python", 2, 0, 0, 0, 0, 0, 2
"c:\Users\anton\Desktop\compiler_sheesh\src\source\source\LexicalAnalyzer\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\anton\Desktop\compiler_sheesh\src\source\source\LexicalAnalyzer\lexerpy.py", "Python", 120, 0, 0, 0, 18, 21, 159
"c:\Users\anton\Desktop\compiler_sheesh\src\source\source\LexicalAnalyzer\prepare.py", "Python", 253, 0, 0, 0, 41, 48, 342
"c:\Users\anton\Desktop\compiler_sheesh\src\source\source\LexicalAnalyzer\tokenclass.py", "Python", 156, 0, 0, 0, 10, 24, 190
"c:\Users\anton\Desktop\compiler_sheesh\src\source\source\Sheesh# Compiler.py", "Python", 290, 0, 0, 0, 32, 79, 401
"c:\Users\anton\Desktop\compiler_sheesh\src\source\source\SyntaxAnalyzer\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\anton\Desktop\compiler_sheesh\src\source\source\SyntaxAnalyzer\fsp.py", "Python", 296, 0, 0, 0, 0, 33, 329
"c:\Users\anton\Desktop\compiler_sheesh\src\source\source\SyntaxAnalyzer\grammar.py", "Python", 355, 0, 0, 0, 44, 55, 454
"c:\Users\anton\Desktop\compiler_sheesh\src\source\source\SyntaxAnalyzer\parser1.py", "Python", 50, 0, 0, 0, 1, 10, 61
"c:\Users\anton\Desktop\compiler_sheesh\src\source\source\SyntaxAnalyzer\parser2.py", "Python", 2140, 0, 0, 0, 37, 271, 2448
"c:\Users\anton\Desktop\compiler_sheesh\src\source\source\SyntaxAnalyzer\parser_sheesh.py", "Python", 1205, 0, 0, 0, 88, 595, 1888
"c:\Users\anton\Desktop\compiler_sheesh\src\source\source\SyntaxAnalyzer\random.py", "Python", 50, 0, 0, 0, 0, 1, 51
"c:\Users\anton\Desktop\compiler_sheesh\src\source\source\SyntaxAnalyzer\syntax_analyzer.py", "Python", 76, 0, 0, 0, 38, 24, 138
"c:\Users\anton\Desktop\compiler_sheesh\src\source\source\SyntaxAnalyzer\test_grammar.py", "Python", 153, 0, 0, 0, 86, 51, 290
"c:\Users\anton\Desktop\compiler_sheesh\src\source\source\SyntaxAnalyzer\test_parser2.py", "Python", 13, 0, 0, 0, 4, 7, 24
"c:\Users\anton\Desktop\compiler_sheesh\src\source\source\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\anton\Desktop\compiler_sheesh\src\source\source\core\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\anton\Desktop\compiler_sheesh\src\source\source\core\constants.py", "Python", 165, 0, 0, 0, 7, 14, 186
"c:\Users\anton\Desktop\compiler_sheesh\src\source\source\core\error_handler.py", "Python", 374, 0, 0, 0, 11, 35, 420
"c:\Users\anton\Desktop\compiler_sheesh\src\source\source\helper.py", "Python", 9, 0, 0, 0, 1, 5, 15
"Total", "-", 5069, 7, 60, 13, 633, 1295, 7077